config_id,competitor_id,plan_id,cpu_model,cpu_sockets,cpu_cores_total,ram_gb,disks,price_value,currency,price_period,stock_count,match_score
MIR-001,selectel,PL13-NVMe,Intel Xeon Silver 4214R,2,24,64,2×1000 ГБ NVMe + 2×2000 ГБ SSD,44000.0,RUB,month,1.0,80.0
MIR-001,timeweb,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 96 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",Intel Xeon Silver 4214R,2,24,64,2×1000 ГБ NVMe + 2×2000 ГБ SSD,44880.0,RUB,month,,80.0
MIR-002,selectel,PL13-NVMe,Intel Xeon Silver 4214R,2,24,64,2×1000 ГБ NVMe + 2×2000 ГБ SSD,44000.0,RUB,month,1.0,100.0
MIR-002,timeweb,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 96 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",Intel Xeon Silver 4214R,2,24,64,2×1000 ГБ NVMe + 2×2000 ГБ SSD,44880.0,RUB,month,,100.0
MIR-003,selectel,PL13-NVMe,Intel Xeon Silver 4214R,2,24,64,2×1000 ГБ NVMe + 2×2000 ГБ SSD,44000.0,RUB,month,1.0,100.0
MIR-003,timeweb,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 96 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",Intel Xeon Silver 4214R,2,24,64,2×1000 ГБ NVMe + 2×2000 ГБ SSD,44880.0,RUB,month,,100.0
MIR-005,selectel,PL23-NVMe,Intel Xeon Silver 4214R,2,24,128,2×1000 ГБ NVMe + 2×2000 ГБ SSD,51500.0,RUB,month,1.0,36.7
MIR-005,timeweb,"2 x Intel Xeon Silver 4214R (24 ядра, 2.4 ГГц, 48 потоков) / 192 DDR4 / 2 x 960 Гб NVMe + 2 x 1.92 Тб SSD",Intel Xeon Silver 4214R,2,24,128,2×1000 ГБ NVMe + 2×2000 ГБ SSD,52530.0,RUB,month,,36.7
MIR-005,reg_cloud,RD-56106,Intel Xeon Silver 4214R,2,24,128,2×1000 ГБ SSD,98700.0,RUB,month,,78.3
MIR-006,selectel,PL23-NVMe,Intel Xeon Silver 4214R,2,24,128,2×1000 ГБ NVMe + 2×2000 ГБ SSD,51500.0,RUB,month,1.0,80.0
