config_id,competitor_id,plan_id,cpu_model,cpu_sockets,cpu_cores_total,ram_gb,disks,price_value,currency,price_period,stock_count,match_score
MIR-002,reg_cloud,RD-30312,Xeon E3-1230v3,1,4,16,2×480 ГБ SSD,7000.0,RUB,month,,100.0
MIR-003,reg_cloud,RD-30055,Xeon E3-1230v3,1,4,16,2×1000 ГБ HDD,5740.0,RUB,month,,100.0
MIR-003,reg_cloud,RD-30072,Xeon E3-1230v3,1,4,16,2×1000 ГБ HDD,5740.0,RUB,month,,100.0
MIR-008,timeweb,"Intel Xeon E3-1230v5 (4 ядра, 3.4-3.8 ГГц, 8 потоков) / 16 DDR4 / 2 x 1 Тб HDD",Intel Xeon E3-1230v5,1,4,16,2×1000 ГБ HDD,7940.0,RUB,month,,100.0
MIR-017,selectel,AEL20-SSD,Intel Xeon E3-1230,1,4,32,2×480 ГБ SSD,8540.0,RUB,month,1.0,100.0
MIR-028,timeweb,"Intel Xeon E3-1240v6 (4 ядра, 3.7-4.1 ГГц, 8 потоков) / 32 DDR4 / 2 x 480 Гб SSD",Intel Xeon E3-1240v6,1,4,32,2×480 ГБ SSD,11270.0,RUB,month,,100.0
MIR-029,timeweb,"Intel Xeon E3-1240v6 (4 ядра, 3.7-4.1 ГГц, 8 потоков) / 32 DDR4 / 4 x 480 Гб SSD",Intel Xeon E3-1240v6,1,4,32,4×480 ГБ SSD,14640.0,RUB,month,,100.0
MIR-045,timeweb,"Intel Xeon E-2236 (6 ядер, 3.4-4.8 ГГц, 12 потоков) / 16 DDR4 / 2 x 480 Гб SSD",Intel Xeon E-2236,1,6,16,2×480 ГБ SSD,10490.0,RUB,month,,100.0
MIR-045,timeweb,E-2236 / 16 / 480,Intel Xeon E-2236,1,6,16,2×480 ГБ SSD,11960.0,RUB,month,,100.0
MIR-046,timeweb,"Intel Xeon E-2236 (6 ядер, 3.4-4.8 ГГц, 12 потоков) / 32 DDR4 / 2 x 480 Гб SSD",Intel Xeon E-2236,1,6,32,2×480 ГБ SSD,11710.0,RUB,month,,100.0
