config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,miran_price,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-049,Intel Xeon E-2236,1,6,32,2×1000 ГБ NVMe,13450.0,16600.0,RUB,month,EL12-NVMe,100.0,2.0,1.0,,,,,,,,,,,,,,
MIR-050,Intel Xeon E-2236,1,6,32,2×2000 ГБ NVMe,16500.0,,,,,,,,,,,,,,,,,,,,,
MIR-051,Intel Xeon E-2236,1,6,32,2×10000 ГБ HDD,15150.0,14000.0,RUB,month,EL12-HDD,100.0,1.0,1.0,,,,,,,,,,,,,,
MIR-052,Intel Xeon E-2236,1,6,64,2×480 ГБ SSD,13200.0,,,,,,,,,,,,,,,,,,,,,
MIR-053,Intel Xeon E-2236,1,6,64,2×1000 ГБ SSD,14500.0,16600.0,RUB,month,EL21-SSD,100.0,27.0,1.0,,,,,,,,,,,,,,
MIR-054,Intel Xeon E-2236,1,6,128,2×1000 ГБ SSD,17400.0,,,,,,,,,,,,,,,,,,,,,
MIR-055,Intel Xeon E-2236,1,6,128,2×1000 ГБ NVMe,17700.0,,,,,,,,,,,,,,,,,,,,,
MIR-056,Intel Xeon E-2236,1,6,128,2×2000 ГБ NVMe,20750.0,,,,,,,,,,,,,,,,,,,,,
MIR-057,Intel Xeon E-2246G,1,6,32,2×512 ГБ SSD + 2×1000 ГБ HDD,13200.0,,,,,,,,,,,,,,,,,,,,,
MIR-058,Intel Xeon E-2246G,1,6,64,2×480 ГБ SSD,13800.0,,,,,,,,,,,,,,,,,,,,,
MIR-059,Intel Xeon E-2246G,1,6,64,2×512 ГБ SSD + 2×1000 ГБ HDD,14500.0,,,,,,,,,,,,,,,,,,,,,
MIR-060,Intel Xeon E-2246G,1,6,64,4×480 ГБ SSD,15750.0,,,,,,,,,,,,,,,,,,,,,
MIR-061,Intel Xeon E-2246G,1,6,64,2×1000 ГБ SSD,15100.0,,,,,,,,,,,,,,,,,,,,,
MIR-062,Intel Xeon E-2274G,1,4,32,2×480 ГБ SSD,12700.0,,,,,,,,,,,,,,,,,,,,,
MIR-063,Intel Xeon E-2274G,1,4,32,2×1000 ГБ SSD,14000.0,,,,,,,,,,,,,,,,,,,,,
MIR-064,Intel Xeon E-2274G,1,4,64,2×480 ГБ SSD + 2×1000 ГБ HDD,15000.0,,,,,,,,,,,,,,,,,,,,,
MIR-065,Intel Xeon E-2274G,1,4,64,2×480 ГБ SSD,14000.0,,,,,,,,,,,,,,,,,,,,,
MIR-066,Intel Xeon E-2274G,1,4,128,2×1000 ГБ SSD,18300.0,,,,,,,,,,,,,,,,,,,,,
MIR-067,Intel Xeon E-2278G,1,8,16,2×480 ГБ SSD,12100.0,,,,,,,,,,,,,,,,,,,,,
MIR-068,Intel Xeon E-2278G,1,8,16,2×1000 ГБ SSD,13400.0,,,,,,,,,,,,,,,,,,,,,
MIR-069,Intel Xeon E-2278G,1,8,32,2×480 ГБ SSD,12700.0,,,,,,,,,,,,,,,,,,,,,
MIR-070,Intel Xeon E-2278G,1,8,32,2×1000 ГБ SSD,14000.0,,,,,,,,,,,,,,,,,,,,,
MIR-071,Intel Xeon E-2278G,1,8,32,2×1000 ГБ NVMe,14500.0,,,,,,,,,,,,,,,,,,,,,
MIR-072,Intel Xeon E-2278G,1,8,32,2×2000 ГБ NVMe,17600.0,,,,,,,,,,,,,,,,,,,,,
MIR-073,Intel Xeon E-2278G,1,8,64,2×480 ГБ SSD,14000.0,,,,,,,,,,,,,,,,,,,,,
MIR-074,Intel Xeon E-2278G,1,8,64,2×480 ГБ SSD + 2×1000 ГБ HDD,15000.0,,,,,,,,,,,,,,,,,,,,,
MIR-075,Intel Xeon E-2278G,1,8,64,2×1000 ГБ SSD,15600.0,,,,,,,,,,,,,,,,,,,,,
MIR-076,Intel Xeon E-2278G,1,8,64,2×2000 ГБ SSD,17700.0,,,,,,,,,,,,,,,,,,,,,
MIR-077,Intel Xeon E-2278G,1,8,64,2×1000 ГБ NVMe,15900.0,,,,,,,,,,,,,,,,,,,,,
MIR-078,Intel Xeon E-2278G,1,8,64,2×2000 ГБ NVMe,18900.0,,,,,,,,,,,,,,,,,,,,,
MIR-079,Intel Xeon E-2278G,1,8,128,2×480 ГБ SSD,17000.0,,,,,,,,,,,,,,,,,,,,,
MIR-080,Intel Xeon E-2278G,1,8,128,2×480 ГБ SSD + 2×1000 ГБ HDD,17700.0,,,,,,,,,,,,,,,,,,,,,
MIR-081,Intel Xeon E-2278G,1,8,128,2×2000 ГБ SSD,21350.0,,,,,,,,,,,,,,,,,,,,,
MIR-082,Intel Xeon E-2278G,1,8,128,2×2000 ГБ NVMe,22570.0,,,,,,,,,,,,,,,,,,,,,
MIR-083,Intel Xeon E-2356G,1,6,64,2×1000 ГБ SSD,16500.0,,,,,,,,,,,,,,,,,,,,,
