config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-053,Intel Xeon Gold 6326,2,16,192,2×1000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-054,Intel Xeon Gold 6326,2,16,256,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-055,Intel Xeon Gold 6326,2,16,384,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-056,Intel Xeon Gold 6326,2,16,768,2×8000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-057,Intel Xeon Gold 6338,2,32,192,2×1000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-058,Intel Xeon Gold 6338,2,32,256,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-059,Intel Xeon Gold 6338,2,32,384,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-060,Intel Xeon Gold 6338,2,32,768,2×8000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-061,Intel Xeon Gold 6348,2,28,128,2×480 ГБ SSD + 2×2000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,
MIR-062,Intel Xeon Gold 6348,2,28,192,2×1000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-063,Intel Xeon Gold 6348,2,28,256,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-064,Intel Xeon Gold 6348,2,28,384,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-065,Intel Xeon Gold 6348,2,28,512,2×8000 ГБ NVMe,,,,,,,,95900.0,RUB,month,RD-55129,100.0,,1.0,,,,,,,
MIR-066,Intel Xeon Gold 6348,2,28,768,2×8000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-067,Intel Xeon Gold 6336Y,2,24,192,2×1000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,
MIR-068,Intel Xeon Gold 6336Y,2,24,256,2×2000 ГБ NVMe,92700.0,RUB,month,PL84-NVMe,100.0,1.0,1.0,96600.0,RUB,month,RD-53917,40.0,,1.0,94560.0,RUB,month,"2 x Intel Xeon Gold 6336Y (48 ядер, 2.4 ГГц, 96 потоков) / 256 DDR4 / 2 x 1.92 Тб NVMe + 2 x 1.92 Тб SSD",100.0,,1.0
MIR-069,Intel Xeon Silver 4516Y+,2,24,128,2×480 ГБ SSD + 2×2000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,
MIR-070,Intel Xeon Silver 4516Y+,2,24,192,2×1000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-071,Intel Xeon Silver 4516Y+,2,24,256,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-072,Intel Xeon Silver 4516Y+,2,24,384,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-073,Intel Xeon Silver 4516Y+,2,24,768,2×8000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-074,Intel Xeon Gold 6526Y,2,16,256,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-075,Intel Xeon Gold 6526Y,2,16,384,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-076,Intel Xeon Gold 6526Y,2,16,768,2×8000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-077,Intel Xeon Gold 6530,2,32,128,2×480 ГБ SSD + 2×2000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,
MIR-078,Intel Xeon Gold 6530,2,32,192,2×1000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-079,Intel Xeon Gold 6530,2,32,256,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-080,Intel Xeon Gold 6530,2,32,384,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-081,Intel Xeon Gold 6530,2,32,768,2×8000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,
MIR-082,Intel Xeon Gold 6448Y,2,32,384,2×4000 ГБ NVMe + 2×8000 ГБ HDD,,,,,,,,,,,,,,,,,,,,,
